Lambda,QC,QCOA,QCCALB,OACALB,QOC1,QOC2
200,,1.228,1.183,1.009,1.351,1.198
202,,1.349,1.296,1.001,1.25,1.282
204,,1.397,1.307,1.059,1.323,1.496
206,,1.527,1.311,1.114,1.469,1.473
208,,1.488,1.469,1.024,1.59,1.519
210,,1.61,1.396,0.758,1.592,1.495
212,,1.666,1.375,0.554,1.67,1.685
214,,1.692,1.295,0.38,1.682,1.598
216,,1.621,1.2,0.314,1.655,1.736
218,,1.596,1.09,0.284,1.606,1.63
220,1.236,1.587,1.043,0.284,1.536,1.687
222,1.183,1.645,1.007,0.297,1.586,1.697
224,1.184,1.585,0.984,0.297,1.556,1.668
226,1.168,1.584,0.959,0.307,1.542,1.699
228,1.168,1.595,0.945,0.315,1.554,1.686
230,1.165,1.599,0.941,0.322,1.555,1.694
232,1.136,1.568,0.92,0.322,1.519,1.639
234,1.07,1.504,0.877,0.31,1.459,1.594
236,0.995,1.424,0.831,0.287,1.403,1.506
238,0.961,1.391,0.827,0.258,1.361,1.459
240,0.975,1.41,0.854,0.224,1.379,1.468
242,0.998,1.432,0.873,0.179,1.394,1.479
244,1.052,1.478,0.922,0.155,1.444,1.535
246,1.139,1.558,1.001,0.124,1.523,1.616
248,1.22,1.637,1.074,0.1,1.602,1.7
250,1.268,1.683,1.116,0.085,1.648,1.744
252,1.382,1.758,1.184,0.069,1.725,1.8
254,1.425,1.83,1.25,0.063,1.8,1.899
256,1.402,1.786,1.234,0.053,1.743,1.868
258,1.31,1.643,1.14,0.048,1.625,1.74
260,1.185,1.509,1.025,0.042,1.48,1.582
262,1.123,1.421,0.963,0.043,1.395,1.493
264,1.079,1.342,0.917,0.042,1.325,1.424
266,1.021,1.258,0.857,0.034,1.245,1.339
268,0.983,1.205,0.82,0.035,1.185,1.282
270,0.921,1.087,0.73,0.031,1.073,1.165
272,0.826,1,0.672,0.027,0.984,1.072
274,0.748,0.903,0.602,0.025,0.883,0.973
276,0.652,0.78,0.52,0.021,0.767,0.845
278,0.571,0.679,0.447,0.02,0.666,0.736
280,0.518,0.611,0.4,0.014,0.6,0.668
282,0.486,0.572,0.374,0.011,0.563,0.624
284,0.474,0.562,0.367,0.008,0.552,0.608
286,0.475,0.564,0.369,0.004,0.555,0.61
288,0.484,0.574,0.378,0.001,0.565,0.62
290,0.496,0.587,0.387,-0.002,0.581,0.634
292,0.5,0.596,0.394,-0.005,0.589,0.645
294,0.517,0.604,0.401,-0.008,0.595,0.652
296,0.521,0.608,0.402,-0.008,0.598,0.655
298,0.528,0.609,0.403,-0.008,0.605,0.663
300,0.529,0.619,0.414,-0.01,0.61,0.662
302,0.536,0.635,0.427,-0.02,0.617,0.678
304,0.531,0.643,0.433,-0.022,0.632,0.686
306,0.556,0.65,0.439,-0.02,0.639,0.696
308,0.56,0.656,0.444,-0.023,0.646,0.701
310,0.565,0.667,0.45,-0.022,0.654,0.71
312,0.57,0.679,0.46,-0.023,0.665,0.721
314,0.579,0.696,0.472,-0.021,0.684,0.737
316,0.588,0.716,0.487,-0.023,0.703,0.755
318,0.599,0.742,0.504,-0.019,0.729,0.778
320,0.611,0.77,0.524,-0.024,0.755,0.804
322,0.626,0.797,0.542,-0.021,0.781,0.828
324,0.643,0.825,0.561,-0.023,0.808,0.855
326,0.654,0.844,0.572,-0.022,0.827,0.873
328,0.668,0.869,0.592,-0.021,0.852,0.897
330,0.684,0.891,0.605,-0.019,0.877,0.919
332,0.705,0.917,0.627,-0.019,0.9,0.949
334,0.725,0.947,0.644,-0.021,0.927,0.977
336,0.749,0.979,0.664,-0.02,0.96,1.008
338,0.778,1.02,0.694,-0.017,0.999,1.052
340,0.818,1.071,0.73,-0.019,1.046,1.105
342,0.86,1.126,0.769,-0.018,1.104,1.161
344,0.91,1.196,0.815,-0.019,1.167,1.228
346,0.964,1.263,0.863,-0.016,1.234,1.298
348,1.015,1.331,0.909,-0.016,1.301,1.368
350,1.071,1.402,0.958,-0.017,1.373,1.441
352,1.132,1.477,1.013,-0.015,1.449,1.52
354,1.188,1.555,1.068,-0.016,1.52,1.6
356,1.251,1.636,1.122,-0.017,1.6,1.684
358,1.309,1.711,1.175,-0.016,1.677,1.757
360,1.354,1.774,1.217,-0.016,1.73,1.814
362,1.395,1.828,1.254,-0.018,1.785,1.875
364,1.416,1.852,1.273,-0.016,1.812,1.908
366,1.432,1.87,1.289,-0.016,1.831,1.914
368,1.429,1.867,1.288,-0.017,1.822,1.91
370,1.419,1.848,1.275,-0.016,1.809,1.895
372,1.403,1.825,1.26,-0.017,1.793,1.874
374,1.378,1.797,1.239,-0.017,1.762,1.843
376,1.35,1.76,1.212,-0.018,1.731,1.807
378,1.301,1.71,1.171,-0.018,1.674,1.748
380,1.254,1.639,1.125,-0.033,1.611,1.69
382,1.182,1.56,1.062,-0.033,1.523,1.591
384,1.095,1.435,0.984,-0.033,1.412,1.476
386,0.987,1.291,0.884,-0.034,1.276,1.332
388,0.865,1.135,0.776,-0.033,1.121,1.167
390,0.739,0.96,0.658,-0.033,0.954,0.989
392,0.613,0.8,0.548,-0.033,0.798,0.827
394,0.506,0.655,0.449,-0.033,0.661,0.679
396,0.407,0.53,0.36,-0.034,0.536,0.546
398,0.318,0.413,0.282,-0.034,0.42,0.429
400,0.239,0.318,0.215,-0.033,0.334,0.321
402,0.175,0.235,0.156,-0.033,0.252,0.236
404,0.129,0.176,0.113,-0.033,0.19,0.175
406,0.088,0.123,0.076,-0.032,0.137,0.12
408,0.058,0.084,0.047,-0.033,0.097,0.081
410,0.034,0.052,0.025,-0.033,0.064,0.048
412,0.016,0.029,0.011,-0.032,0.04,0.025
414,0.004,0.013,-0.001,-0.033,0.024,0.009
416,-0.003,0.003,-0.008,-0.032,0.012,0.002
418,-0.009,-0.005,-0.013,-0.032,0.005,0.009
420,-0.012,-0.009,-0.017,-0.032,0,-0.013
422,-0.015,-0.012,-0.017,-0.032,-0.003,-0.016
424,-0.016,-0.014,-0.019,-0.032,-0.005,-0.017
426,-0.016,-0.015,-0.019,-0.032,-0.006,-0.019
428,-0.017,-0.016,-0.021,-0.032,-0.007,-0.02
430,-0.017,-0.016,-0.021,-0.032,-0.009,-0.021
432,-0.018,-0.018,-0.022,-0.032,-0.01,-0.021
434,-0.018,-0.018,-0.022,-0.031,-0.011,-0.022
436,-0.019,-0.019,-0.023,-0.033,-0.011,-0.022
438,-0.019,-0.019,-0.023,-0.033,-0.012,-0.023
440,-0.02,-0.02,-0.023,-0.032,-0.013,-0.023
442,-0.02,-0.02,-0.023,-0.032,-0.013,-0.022
444,-0.019,-0.02,-0.024,-0.031,-0.013,-0.023
446,-0.02,-0.02,-0.024,-0.032,-0.014,-0.023
448,-0.02,-0.02,-0.024,-0.031,-0.014,-0.023
450,-0.02,-0.02,-0.024,-0.032,-0.014,-0.023
452,-0.021,-0.02,-0.024,-0.031,-0.015,-0.023
454,-0.021,-0.02,-0.025,-0.031,-0.015,-0.024
456,-0.021,-0.02,-0.025,-0.031,-0.016,-0.024
458,-0.021,-0.02,-0.025,-0.03,-0.015,-0.024
460,-0.021,-0.021,-0.025,-0.03,-0.016,-0.024
462,-0.021,-0.02,-0.025,-0.03,-0.016,-0.024
464,-0.02,-0.02,-0.024,-0.03,-0.016,-0.023
466,-0.021,-0.02,-0.026,-0.03,-0.016,-0.023
468,-0.02,-0.02,-0.025,-0.03,-0.016,-0.023
470,-0.02,-0.02,-0.025,-0.03,-0.016,-0.023
472,-0.02,-0.02,-0.026,-0.03,-0.017,-0.023
474,-0.02,-0.019,-0.025,-0.03,-0.017,-0.024
476,-0.019,-0.018,-0.025,-0.029,-0.017,-0.024
478,-0.019,-0.019,-0.024,-0.029,-0.016,-0.024
480,-0.019,-0.018,-0.024,-0.029,-0.017,-0.024
482,-0.019,-0.018,-0.024,-0.029,-0.017,-0.024
484,-0.019,-0.017,-0.025,-0.029,-0.017,-0.024
486,-0.018,-0.017,-0.024,-0.029,-0.017,-0.024
488,-0.018,-0.017,-0.024,-0.029,-0.017,-0.024
490,-0.019,-0.017,-0.024,-0.029,-0.017,-0.024
492,-0.019,-0.018,-0.024,-0.029,-0.018,-0.024
494,-0.019,-0.018,-0.024,-0.029,-0.017,-0.024
496,-0.019,-0.017,-0.024,-0.029,-0.017,-0.024
498,-0.018,-0.017,-0.024,-0.029,-0.017,-0.024
500,-0.018,-0.017,-0.024,-0.029,-0.017,-0.024
